month,category,type,number
2016-06,Cars,Diesel,8032
2016-06,Cars,Petrol-Electric,7139
2016-06,Cars,Petrol-Electric (Plug-In),123
2016-06,Cars,Petrol-CNG,1781
2016-06,Cars,CNG,0
2016-06,Cars,Electric,2
2016-06,Cars,Diesel-Electric,22
2016-06,Taxis,Petrol,351
2016-06,Taxis,Diesel,24371
2016-06,Taxis,Petrol-Electric,2163
2016-06,Taxis,Petrol-CNG,1308
2016-06,Taxis,CNG,0
2016-06,Motor-cycles,Petrol,142577
2016-06,Motor-cycles,Electric,2
2016-06,Goods & Other Vehicles,Petrol,7218
2016-06,Goods & Other Vehicles,Diesel,136693
2016-06,Goods & Other Vehicles,Petrol-Electric,1
2016-06,Goods & Other Vehicles,Petrol-CNG,8
2016-06,Goods & Other Vehicles,CNG,4
2016-06,Goods & Other Vehicles,Electric,1
2016-06,Goods & Other Vehicles,Diesel-Electric,6
2016-06,Buses,Petrol,81
2016-06,Buses,Diesel,17967
2016-06,Buses,Petrol-CNG,2
2016-06,Buses,CNG,12
2016-06,Buses,Diesel-Electric,4
2016-07,Cars,Petrol,582075
2016-07,Cars,Diesel,8452
2016-07,Cars,Petrol-Electric,7307
2016-07,Cars,Petrol-Electric (Plug-In),124
2016-07,Cars,Petrol-CNG,1758
2016-07,Cars,CNG,0
2016-07,Cars,Electric,2
2016-07,Cars,Diesel-Electric,22
2016-07,Taxis,Petrol,339
2016-07,Taxis,Diesel,24232
2016-07,Taxis,Petrol-Electric,2207
2016-07,Taxis,Petrol-CNG,1276
2016-07,Taxis,CNG,0
2016-07,Motor-cycles,Petrol,142597
2016-07,Motor-cycles,Electric,2
2016-07,Goods & Other Vehicles,Petrol,7225
2016-07,Goods & Other Vehicles,Diesel,136808
2016-07,Goods & Other Vehicles,Petrol-Electric,1
2016-07,Goods & Other Vehicles,Petrol-CNG,8
2016-07,Goods & Other Vehicles,CNG,3
2016-07,Goods & Other Vehicles,Electric,1
2016-07,Goods & Other Vehicles,Diesel-Electric,6
2016-07,Buses,Petrol,81
2016-07,Buses,Diesel,17998
2016-07,Buses,Petrol-CNG,2
2016-07,Buses,CNG,12
2016-07,Buses,Diesel-Electric,4
2016-08,Cars,Petrol,581934
2016-08,Cars,Diesel,8767
2016-08,Cars,Petrol-Electric,7584
2016-08,Cars,Petrol-Electric (Plug-In),124
2016-08,Cars,Petrol-CNG,1734
