month,make,number
2016-04,MASERATI,15
2016-04,MAZDA,380
2016-04,MCLAREN,3
2016-04,MERCEDES BENZ,522
2016-04,MINI,55
2016-04,MITSUBISHI,541
2016-04,MORGAN,0
2016-04,MORRIS,0
2016-04,NAZA,1
2016-04,NISSAN,733
2016-04,OPEL,35
2016-04,PERODUA,31
2016-04,PEUGEOT,85
2016-04,PORSCHE,64
2016-04,PROTON,49
2016-04,RENAULT,39
2016-04,ROLLS ROYCE,7
2016-04,ROVER,1
2016-04,SAAB,19
2016-04,SKODA,14
2016-04,SSANGYONG,5
2016-04,SUBARU,219
2016-04,SUZUKI,285
2016-04,TOYOTA,2528
2016-04,TRIUMPH,1
2016-04,VOLKSWAGEN,317
2016-04,VOLVO,117
2016-04,WULING,0
2016-04,ZOTYE,0
2016-05,ALFA ROMEO,11
2016-05,ASTON MARTIN,2
2016-05,AUDI,227
2016-05,AUSTIN,1
2016-05,B.M.W.,596
2016-05,BENTLEY,12
2016-05,BERTONE,0
2016-05,CHANA,0
2016-05,CHERY,32
2016-05,CHEVROLET,153
2016-05,CHRYSLER,9
2016-05,CITROEN,45
2016-05,DAIHATSU,30
2016-05,DODGE,2
2016-05,DONGFENG,1
2016-05,FERRARI,9
2016-05,FIAT,27
2016-05,FORD,45
2016-05,FOTON,0
2016-05,GEELY,2
2016-05,GOLDEN DRAGON,0
2016-05,HAFEI,4
2016-05,HONDA,1644
2016-05,HUMMER,0
2016-05,HYUNDAI,514
2016-05,INFINITI,1
2016-05,JAGUAR,47
2016-05,JEEP,2
2016-05,KIA,266
2016-05,LAMBORGHINI,11
2016-05,LAND ROVER,15
2016-05,LOTUS,1
2016-05,M.G.,1
2016-05,MASERATI,13
2016-05,MAZDA,321
2016-05,MCLAREN,0
2016-05,MERCEDES BENZ,595
2016-05,MINI,68
2016-05,MITSUBISHI,565
2016-05,MORGAN,1
2016-05,MORRIS,1
2016-05,NAZA,0
2016-05,NISSAN,756
2016-05,OPEL,18
2016-05,PERODUA,27
2016-05,PEUGEOT,57
2016-05,PORSCHE,63
2016-05,PROTON,54
2016-05,RENAULT,30
2016-05,ROLLS ROYCE,3
2016-05,ROVER,0
2016-05,SAAB,20
2016-05,SKODA,5
2016-05,SSANGYONG,5
2016-05,SUBARU,249
2016-05,SUZUKI,273
2016-05,TOYOTA,2724
2016-05,TRIUMPH,1
2016-05,VOLKSWAGEN,341
2016-05,VOLVO,125
2016-05,WULING,2
2016-05,ZOTYE,1
2016-06,ALFA ROMEO,16
2016-06,ALPINA,0
2016-06,ASTON MARTIN,2
2016-06,AUDI,295
2016-06,AUSTIN,3
2016-06,B.M.W.,644
2016-06,BENTLEY,8
2016-06,BERTONE,0
2016-06,CATERHAM,0
2016-06,CHANA,1
2016-06,CHERY,42
2016-06,CHEVROLET,176
2016-06,CHRYSLER,9
2016-06,CITROEN,45
2016-06,DAIHATSU,52
2016-06,DAIMLER,0
2016-06,DODGE,0
2016-06,DONGFENG,0
2016-06,FERRARI,9
2016-06,FIAT,47
2016-06,FORD,42
2016-06,FOTON,0
2016-06,FRAZER,0
2016-06,GEELY,8
2016-06,GOLDEN DRAGON,0
2016-06,HAFEI,7
2016-06,HONDA,1666
2016-06,HUMMER,0
2016-06,HYUNDAI,569
2016-06,INFINITI,3
2016-06,JAGUAR,44
2016-06,JEEP,14
2016-06,KIA,292
2016-06,LAMBORGHINI,9
2016-06,LAND ROVER,23
2016-06,LOTUS,1
2016-06,M.G.,0
2016-06,MASERATI,6
2016-06,MAZDA,421
2016-06,Mclaren,2
2016-06,MERCEDES BENZ,584
2016-06,MINI,51
2016-06,MITSUBISHI,603
2016-06,MITSUOKA,1
2016-06,MORGAN,0
2016-06,MORRIS,1
2016-06,NAZA,1
2016-06,NISSAN,788
2016-06,OPEL,28
2016-06,PAGANI,1
2016-06,PERODUA,36
2016-06,PEUGEOT,74
2016-06,PORSCHE,68
2016-06,PRINCE,0
2016-06,PROTON,47
2016-06,RENAULT,42
2016-06,ROLLS ROYCE,4
2016-06,ROVER,1
2016-06,SAAB,16
2016-06,SKODA,11
2016-06,SMART,0
2016-06,SSANGYONG,7
2016-06,SUBARU,242
2016-06,SUZUKI,245
2016-06,TD CARS,0
2016-06,TOYOTA,2888
2016-06,TRIUMPH,0
2016-06,VOLKSWAGEN,383
2016-06,VOLVO,143
2016-06,WULING,0
2016-06,ZOTYE,0
2016-07,ALFA ROMEO,16
2016-07,ALPINA,1
2016-07,ASTON MARTIN,4
2016-07,AUDI,238
2016-07,AUSTIN,2
2016-07,B.M.W.,568
2016-07,BENTLEY,13
2016-07,BERTONE,0
2016-07,CATERHAM,0
2016-07,CHANA,1
2016-07,CHERY,33
2016-07,CHEVROLET,144
2016-07,CHRYSLER,5
2016-07,CITROEN,37
2016-07,DAIHATSU,49
2016-07,DAIMLER,0
2016-07,DODGE,1
2016-07,DONGFENG,0
2016-07,FERRARI,9
2016-07,FIAT,27
2016-07,FORD,54
2016-07,FOTON,0
2016-07,FRAZER,0
2016-07,GEELY,4
2016-07,GOLDEN DRAGON,0
2016-07,HAFEI,2
2016-07,HONDA,1665
2016-07,HUMMER,2
2016-07,HYUNDAI,471
2016-07,INFINITI,0
2016-07,JAGUAR,42
2016-07,JEEP,5
2016-07,KIA,272
2016-07,LAMBORGHINI,3
2016-07,LAND ROVER,19
2016-07,LOTUS,3
2016-07,M.G.,1
2016-07,MASERATI,9
2016-07,MAZDA,380
2016-07,Mclaren,1
