year,age_years,number
2015,5-<6,1082
2015,6-<7,1358
2015,7-<8,1483
2015,8-<9,770
2015,9-<10,937
2015,10-<11,610
2015,11-<12,488
2015,12-<13,437
2015,13-<14,371
2015,14-<15,584
2015,15-<16,802
2015,16-<17,453
2015,17-<18,370
2015,18-<19,466
2015,19-<20,140
2015,20->,0
2016,0-<1,1768
2016,1-<2,1780
2016,2-<3,1666
2016,3-<4,1320
2016,4-<5,1125
2016,5-<6,1487
2016,6-<7,1079
2016,7-<8,1355
2016,8-<9,1477
2016,9-<10,746
2016,10-<11,837
2016,11-<12,591
2016,12-<13,461
2016,13-<14,405
2016,14-<15,330
2016,15-<16,514
2016,16-<17,689
2016,17-<18,280
2016,18-<19,260
2016,19-<20,168
2016,20->,0
2017,0-<1,1656
2017,1-<2,1766
2017,2-<3,1778
2017,3-<4,1664
2017,4-<5,1307
2017,5-<6,1123
2017,6-<7,1474
2017,7-<8,1071
2017,8-<9,1333
2017,9-<10,1441
2017,10-<11,671
2017,11-<12,814
2017,12-<13,552
2017,13-<14,432
2017,14-<15,374
2017,15-<16,280
2017,16-<17,436
2017,17-<18,391
2017,18-<19,168
2017,19-<20,83
2017,20->,0
2018,0-<1,909
2018,1-<2,1661
2018,2-<3,1768
2018,3-<4,1776
2018,4-<5,1659
2018,5-<6,1298
2018,6-<7,1125
2018,7-<8,1464
2018,8-<9,1060
2018,9-<10,1311
2018,10-<11,1319
2018,11-<12,655
2018,12-<13,780
2018,13-<14,499
2018,14-<15,372
2018,15-<16,338
2018,16-<17,251
2018,17-<18,325
2018,18-<19,268
2018,19-<20,109
2018,20->,0
2019,0-<1,1098
2019,1-<2,924
2019,2-<3,1664
2019,3-<4,1773
2019,4-<5,1778
2019,5-<6,1654
2019,6-<7,1295
2019,7-<8,1124
2019,8-<9,1456
2019,9-<10,1039
2019,10-<11,1240
2019,11-<12,1279
2019,12-<13,603
2019,13-<14,748
2019,14-<15,415
2019,15-<16,316
2019,16-<17,318
2019,17-<18,185
2019,18-<19,239
2019,19-<20,178
2019,20->,0
