month,type,category,number
2017-10,10 Year,Category B,365
2017-10,10 Year,Category C,47
2017-10,10 Year,Category D,318
2017-11,5 Year,Category A,1614
2017-11,5 Year,Category B,912
2017-11,5 Year,Category C,735
2017-11,5 Year,Category D,446
2017-11,10 Year,Category A,909
2017-11,10 Year,Category B,1385
2017-11,10 Year,Category C,46
2017-11,10 Year,Category D,821
2017-12,5 Year,Category A,714
2017-12,5 Year,Category B,437
2017-12,5 Year,Category C,235
2017-12,5 Year,Category D,332
2017-12,10 Year,Category A,177
2017-12,10 Year,Category B,310
2017-12,10 Year,Category C,11
2017-12,10 Year,Category D,485
2018-01,5 Year,Category A,765
2018-01,5 Year,Category B,433
2018-01,5 Year,Category C,336
2018-01,5 Year,Category D,314
2018-01,10 Year,Category A,160
2018-01,10 Year,Category B,247
2018-01,10 Year,Category C,11
2018-01,10 Year,Category D,440
2018-02,5 Year,Category A,677
2018-02,5 Year,Category B,357
2018-02,5 Year,Category C,372
2018-02,5 Year,Category D,205
2018-02,10 Year,Category A,191
2018-02,10 Year,Category B,315
2018-02,10 Year,Category C,17
2018-02,10 Year,Category D,196
2018-03,5 Year,Category A,1071
2018-03,5 Year,Category B,568
2018-03,5 Year,Category C,809
2018-03,5 Year,Category D,291
2018-03,10 Year,Category A,410
2018-03,10 Year,Category B,567
2018-03,10 Year,Category C,55
2018-03,10 Year,Category D,161
2018-04,5 Year,Category A,1286
2018-04,5 Year,Category B,511
2018-04,5 Year,Category C,845
2018-04,5 Year,Category D,144
2018-04,10 Year,Category A,491
2018-04,10 Year,Category B,650
2018-04,10 Year,Category C,70
2018-04,10 Year,Category D,108
2018-05,5 Year,Category A,1542
2018-05,5 Year,Category B,677
2018-05,5 Year,Category C,1079
2018-05,5 Year,Category D,227
2018-05,10 Year,Category A,617
2018-05,10 Year,Category B,954
2018-05,10 Year,Category C,95
2018-05,10 Year,Category D,167
2018-06,5 Year,Category A,1045
2018-06,5 Year,Category B,649
2018-06,5 Year,Category C,963
2018-06,5 Year,Category D,270
2018-06,10 Year,Category A,362
2018-06,10 Year,Category B,869
2018-06,10 Year,Category C,81
2018-06,10 Year,Category D,174
2018-07,5 Year,Category A,1111
2018-07,5 Year,Category B,611
2018-07,5 Year,Category C,1171
2018-07,5 Year,Category D,245
2018-07,10 Year,Category A,398
2018-07,10 Year,Category B,798
2018-07,10 Year,Category C,71
2018-07,10 Year,Category D,226
2018-08,5 Year,Category A,1285
2018-08,5 Year,Category B,679
2018-08,5 Year,Category C,1036
2018-08,5 Year,Category D,264
2018-08,10 Year,Category A,528
2018-08,10 Year,Category B,908
2018-08,10 Year,Category C,108
2018-08,10 Year,Category D,192
2018-09,5 Year,Category A,1370
2018-09,5 Year,Category B,658
2018-09,5 Year,Category C,931
2018-09,5 Year,Category D,228
2018-09,10 Year,Category A,670
2018-09,10 Year,Category B,987
2018-09,10 Year,Category C,99
2018-09,10 Year,Category D,227
2018-10,5 Year,Category A,1399
2018-10,5 Year,Category B,585
2018-10,5 Year,Category C,730
2018-10,5 Year,Category D,211
2018-10,10 Year,Category A,699
2018-10,10 Year,Category B,988
2018-10,10 Year,Category C,119
2018-10,10 Year,Category D,234
2018-11,5 Year,Category A,1484
2018-11,5 Year,Category B,649
2018-11,5 Year,Category C,532
2018-11,5 Year,Category D,184
2018-11,10 Year,Category A,760
2018-11,10 Year,Category B,1019
2018-11,10 Year,Category C,101
2018-11,10 Year,Category D,196
2018-12,5 Year,Category A,1746
2018-12,5 Year,Category B,516
2018-12,5 Year,Category C,624
2018-12,5 Year,Category D,197
2018-12,10 Year,Category A,935
2018-12,10 Year,Category B,917
2018-12,10 Year,Category C,99
2018-12,10 Year,Category D,391
2019-01,5 Year,Category A,1687
2019-01,5 Year,Category B,753
2019-01,5 Year,Category C,694
2019-01,5 Year,Category D,248
2019-01,10 Year,Category A,1038
2019-01,10 Year,Category B,1836
2019-01,10 Year,Category C,110
2019-01,10 Year,Category D,403
2019-02,5 Year,Category A,1517
2019-02,5 Year,Category B,628
2019-02,5 Year,Category C,846
2019-02,5 Year,Category D,413
2019-02,10 Year,Category A,1017
2019-02,10 Year,Category B,1534
2019-02,10 Year,Category C,112
2019-02,10 Year,Category D,1112
2019-03,5 Year,Category A,2350
2019-03,5 Year,Category B,736
2019-03,5 Year,Category C,1547
2019-03,5 Year,Category D,133
2019-03,10 Year,Category A,2320
2019-03,10 Year,Category B,2012
2019-03,10 Year,Category C,162
2019-03,10 Year,Category D,158
2019-04,5 Year,Category A,2479
2019-04,5 Year,Category B,538
2019-04,5 Year,Category C,1080
2019-04,5 Year,Category D,216
2019-04,10 Year,Category A,2558
2019-04,10 Year,Category B,2190
2019-04,10 Year,Category C,266
2019-04,10 Year,Category D,331
2019-05,5 Year,Category A,1615
2019-05,5 Year,Category B,295
2019-05,5 Year,Category C,599
2019-05,5 Year,Category D,160
2019-05,10 Year,Category A,827
2019-05,10 Year,Category B,545
2019-05,10 Year,Category C,101
2019-05,10 Year,Category D,142
2019-06,5 Year,Category A,718
2019-06,5 Year,Category B,93
2019-06,5 Year,Category C,365
2019-06,5 Year,Category D,152
2019-06,10 Year,Category A,232
2019-06,10 Year,Category B,98
2019-06,10 Year,Category C,50
2019-06,10 Year,Category D,193
2019-07,5 Year,Category A,618
2019-07,5 Year,Category B,173
2019-07,5 Year,Category C,1157
2019-07,5 Year,Category D,188
2019-07,10 Year,Category A,168
2019-07,10 Year,Category B,205
2019-07,10 Year,Category C,64
2019-07,10 Year,Category D,238
2019-08,5 Year,Category A,1184
2019-08,5 Year,Category B,206
2019-08,5 Year,Category C,733
2019-08,5 Year,Category D,352
2019-08,10 Year,Category A,537
2019-08,10 Year,Category B,436
2019-08,10 Year,Category C,93
2019-08,10 Year,Category D,753
2019-09,5 Year,Category A,1175
2019-09,5 Year,Category B,189
2019-09,5 Year,Category C,499
2019-09,5 Year,Category D,163
2019-09,10 Year,Category A,617
2019-09,10 Year,Category B,467
2019-09,10 Year,Category C,94
2019-09,10 Year,Category D,208
2019-10,5 Year,Category A,1040
2019-10,5 Year,Category B,347
2019-10,5 Year,Category C,738
2019-10,5 Year,Category D,120
2019-10,10 Year,Category A,478
2019-10,10 Year,Category B,1191
2019-10,10 Year,Category C,92
2019-10,10 Year,Category D,181
2019-11,5 Year,Category A,403
2019-11,5 Year,Category B,149
2019-11,5 Year,Category C,365
2019-11,5 Year,Category D,88
2019-11,10 Year,Category A,116
2019-11,10 Year,Category B,292
2019-11,10 Year,Category C,41
